time,az (m/s^2)
3.026312,-0.4148
3.027818,-0.2641
3.028286,-0.0342
3.031189,-0.1467
3.033004,-0.3932
3.034327,-0.4554
3.037656,-0.2592
3.047274,-0.2711
3.048345,-0.4769
3.04906,-0.465
3.049452,-0.2304
3.050532,-0.1897
3.051703,-0.4266
3.058219,-0.5032
3.058901,-0.2735
3.059299,-0.1897
3.062081,-0.3979
3.063823,-0.3621
3.066084,-0.0654
3.070205,0.0927
3.072551,-0.1634
3.075556,-0.3931
3.077038,-0.3452
3.081882,-0.2614
3.082246,-0.4528
3.083491,-0.5462
3.087379,-0.314
3.088176,-0.101
3.090706,-0.2374
3.094695,-0.3954
3.096571,-0.2614
3.099027,-0.0843
3.101817,-0.2326
3.10375,-0.4696
3.107029,-0.4241
3.107629,-0.2206
3.111576,-0.3331
3.11361,-0.5676
3.11587,-0.4791
3.118406,-0.2182
3.121572,-0.2254
3.125962,-0.3977
3.126569,-0.3763
3.12697,-0.125
3.131232,-0.1464
3.134571,-0.4552
3.135065,-0.5581
3.137489,-0.357
3.143691,-0.3474
3.144253,-0.5819
3.144738,-0.5868
3.146521,-0.2853
3.150177,-0.1656
3.151857,-0.3666
3.154898,-0.4767
3.157611,-0.3188
3.160051,-0.2038
3.164903,-0.4359
3.165349,-0.5987
3.165732,-0.4144
3.170308,-0.187
3.170739,-0.3114
3.174633,-0.4742
3.17557,-0.3187
3.179484,-0.1535
3.181172,-0.3042
3.184367,-0.5268
3.185785,-0.3689
3.192891,-0.1606
3.193536,-0.297
3.193929,-0.4885
3.199202,-0.4048
3.19963,-0.1631
3.200054,-0.2181
3.2036,-0.4694
3.206624,-0.5316
3.209762,-0.3377
3.210286,-0.3257
3.213091,-0.5388
3.21601,-0.4718
3.217615,-0.1607
3.219047,-0.0721
3.226055,-0.3018
3.226959,-0.4383
3.227421,-0.321
3.228783,-0.352
3.232024,-0.5865
3.233698,-0.6368
3.236825,-0.3162
3.246887,-0.1271
3.248104,-0.2826
3.249136,-0.3952
3.249585,-0.2492
3.25015,-0.1366
3.250683,-0.328
3.253905,-0.4884
